component_id,asset_id,asset_code,component_code,component_name,component_type,description,criticality,condition,health_score,has_sensor_data,has_cbm,maintenance_strategy,maintenance_interval_days,last_maintenance_date,next_planned_maintenance,frequent_failures,recommended_action
502,5,INSPECTION_001,INSP-LIGHTING,Lighting Unit,Vision support,Lighting arrays and strobes,medium,attention,72,true,true,intensity check and cleaning,14,2026-05-04,2026-05-18,low intensity;strobe failure,Check lighting intensity and replace weak strobe
503,5,INSPECTION_001,INSP-REJECT,Rejection System,Reject mechanism,Reject gates and timing controls,high,attention,70,true,true,actuation timing check and air pressure monitoring,14,2026-05-06,2026-05-20,reject timing fault;air leak,Verify reject timing and pneumatic response
504,5,INSPECTION_001,INSP-CONVEYOR,Bottle Handling Conveyor,Material handling,Inspection infeed and outfeed transport,high,healthy,80,true,true,speed monitoring and alignment inspection,30,2026-04-28,2026-05-28,tracking issue;belt wear,Inspect guide rails and conveyor tracking
505,5,INSPECTION_001,INSP-SENSORS,Sensor Array,Instrumentation,Photoeyes proximity sensors and triggers,high,attention,73,true,true,trigger validation and cleaning,14,2026-05-02,2026-05-16,false rejects;sensor contamination,Clean sensors and validate trigger timing
506,5,INSPECTION_001,INSP-CONTROL,Control Panel,Electrical control,Inspection controller drives and HMI,high,healthy,82,true,true,alarm review and electrical inspection,30,2026-04-25,2026-05-25,drive alarm;network fault,Review alarms and inspect cabinet cooling
601,6,PACKAGING_001,PKG-CASE-PACKER,Case Packer,Packaging module,Case forming and loading module,high,attention,74,true,true,current and cycle monitoring plus weekly inspection,21,2026-05-05,2026-05-26,jam;case feed fault,Inspect case feed and cycle timing
602,6,PACKAGING_001,PKG-WRAP,Wrap Around Packer,Packaging module,Wrap around carton forming station,high,attention,73,true,true,temperature and cycle monitoring,21,2026-05-06,2026-05-27,miswrap;adhesive issue,Verify wrap timing and adhesive temperature
603,6,PACKAGING_001,PKG-STRAP,Strapping System,Packaging module,Strap tensioner and sealing head,medium,healthy,80,true,true,tension check and cycle monitoring,30,2026-04-30,2026-05-30,low strap tension;seal fault,Check strap tension and sealing head wear
604,6,PACKAGING_001,PKG-LABEL,Labeling System,Packaging module,Label applicator and printer,medium,healthy,82,true,true,print quality check and sensor cleaning,30,2026-04-28,2026-05-28,label skew;printer fault,Verify label alignment and clean sensors
605,6,PACKAGING_001,PKG-SUCTION,Vacuum Suction Cups,Maintainable wear item,Suction cups used for pickup and placement,high,warning,,false,false,preventive replacement by cycle count and visual inspection,30,2026-05-02,2026-06-01,vacuum loss;worn cups;missed pickup,Replace suction cups and inspect vacuum line
606,6,PACKAGING_001,PKG-SEAL,Seal Kit,Maintainable wear item,Seal kit supporting vacuum and pneumatic sealing,high,attention,,false,false,preventive replacement every 45 days,45,2026-04-20,2026-06-04,seal wear;vacuum leakage,Inspect seal kit and replace if leakage continues
607,6,PACKAGING_001,PKG-ALIGN,Conveyor Belt Alignment,Mechanical alignment,Internal packaging belt alignment and tracking,medium,attention,76,true,true,tracking inspection and motor current monitoring,21,2026-05-08,2026-05-29,belt drift;guide wear,Adjust belt tracking and inspect guide wear
608,6,PACKAGING_001,PKG-PNEUMATIC,Pneumatic System,Utilities,Air valves regulators and cylinders,high,attention,71,true,true,pressure monitoring and leak inspection,14,2026-05-07,2026-05-21,air leak;low pressure;slow cylinder,Inspect pneumatic leaks and validate cylinder speed
609,6,PACKAGING_001,PKG-SAFETY,Safety Guards,Safety,Interlocked guards light curtains and safety devices,critical,healthy,95,false,false,functional safety proof test,90,2026-04-03,2026-07-02,guard switch fault;light curtain trip,Complete safety device proof test on schedule
