history_id,component_id,asset_id,asset_code,component_code,date,work_order_id,failure_description,failure_cause,action_taken,replaced_part,downtime_hours,technician_note
26,603,6,PACKAGING_001,PKG-STRAP,2026-04-30,WO-60012,Low strap tension,Tensioner wear,Adjusted tensioner and replaced wear pad,Tensioner wear pad,0.6,Continue monitoring strap quality
27,307,3,IS_MACHINE_001,ISM-PUSHOUT,2026-03-12,WO-30018,Pushout timing drift,Mechanical pivot wear,Adjusted pushout timing and replaced worn pivot bushing,Pivot bushing,1.3,Timing correction reduced handling jams
28,308,3,IS_MACHINE_001,ISM-DRIP,2026-02-05,WO-30005,Drip deflector contamination,Glass buildup on deflector,Cleaned deflector and corrected position,None,0.4,Add inspection to weekly checklist
29,601,6,PACKAGING_001,PKG-CASE-PACKER,2026-03-18,WO-60005,Repeated case packer jams,Case rail misalignment,Corrected case packer alignment and tightened guides,Guide fasteners,1.1,Alignment should be checked before high volume runs
31,101,1,FURNACE_001,FUR-BURNER,2026-05-06,WO-10026,Flame instability on burner row,Nozzle fouling,Cleaned burner nozzles and verified flame pattern,Burner nozzle,1.0,Combustion stabilized after cleaning
32,104,1,FURNACE_001,FUR-COOLING,2026-04-28,WO-10021,Cooling flow alarm,Blocked strainer,Cleaned cooling strainer and checked pump flow,Strainer basket,0.9,Add strainer inspection to weekly route
33,203,2,FEEDER_001,FDR-BELT,2026-04-27,WO-20017,Belt drive tension low,Chain stretch,Adjusted belt chain tension and checked alignment,None,0.7,Drive noise reduced after tension correction
34,204,2,FEEDER_001,FDR-HOPPER,2026-05-10,WO-20025,Material bridging at hopper,Glass buildup,Cleared hopper throat and added cleaning check,None,0.6,Flow improved after blockage removal
35,206,2,FEEDER_001,FDR-VIBRATION,2026-04-29,WO-20019,Vibration unit amplitude unstable,Loose mounting bolts,Tightened mounting bolts and checked eccentric weights,Mounting hardware,0.8,Amplitude returned to normal
36,404,4,ANNEALING_LEHR_001,LEHR-ROLLERS,2026-04-10,WO-40008,Container travel skewed,Roller alignment drift,Realigned roller section and inspected bearings,None,1.5,Travel path corrected after alignment
37,406,4,ANNEALING_LEHR_001,LEHR-HEATING,2026-04-27,WO-40011,Heating zone instability,Burner air ratio drift,Adjusted burner air ratio and verified zone profile,None,0.9,Zone profile stabilized
38,501,5,INSPECTION_001,INSP-CAMERA,2026-04-12,WO-50006,Image calibration drift,Camera calibration error,Recalibrated camera and verified reference bottle,None,0.4,False rejects reduced after calibration
39,502,5,INSPECTION_001,INSP-LIGHTING,2026-05-04,WO-50010,Lighting intensity low,Strobe degradation,Replaced weak strobe and cleaned light window,Strobe module,0.6,Lighting intensity restored
40,506,5,INSPECTION_001,INSP-CONTROL,2026-04-25,WO-50004,Intermittent controller alarm,Cabinet cooling fan dust,Cleaned cabinet and checked fan airflow,None,0.5,No repeated alarm after cleaning
30,604,6,PACKAGING_001,PKG-LABEL,2026-04-18,WO-60010,Rejected packs from label skew,Label sensor drift,Recalibrated labeling sensor and verified print position,None,0.5,Sensor calibration restored label placement
